,Unnamed: 0,model,year,target,predictor,values
198,490114,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi2-TM.VAL.TRAN.ZS.WT,0.0199868757377905
199,490022,etr,2020,wdi2-TM.VAL.TRVL.ZS.WT,wdi-BX.TRF.CURR.CD,0.0181034843867826
200,489847,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi-BM.GSR.TRAN.ZS,0.6540483844005189
201,489962,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-TM.VAL.OTHR.ZS.WT,0.0474845912413783
202,489834,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi-AG.LND.AGRI.ZS,0.0217313992097197
203,489944,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-SP.DYN.LE00.FE.IN,0.0118558612677084
204,489945,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-SP.DYN.LE00.IN,0.0115019725412384
205,489840,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi-BM.GSR.CMCP.ZS,0.0092893192281121
206,489836,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi-AG.LND.ARBL.HA.PC,0.0091225699044454
207,489909,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-NY.ADJ.DKAP.GN.ZS,0.0082646179295267
208,489923,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-NY.GDP.PCAP.CD,0.0073802861050722
209,489946,etr,2020,wdi2-TM.VAL.TRAN.ZS.WT,wdi2-SP.DYN.LE00.MA.IN,0.0072073967620265
210,489696,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi-BM.GSR.TOTL.CD,0.0774937291855918
211,489692,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi-BM.GSR.GNFS.CD,0.06737916474436
212,489714,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi-BX.GSR.FCTY.CD,0.0667542445018906
213,489679,etr,2020,wdi2-TM.VAL.SERV.CD.WT,key-wdi2-NY.GDP.MKTP.CD,0.0580511245115823
214,489818,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi2-TX.VAL.MRCH.WL.CD,0.0576001538824148
215,489779,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi2-NY.GNP.MKTP.CD,0.0575619908509055
216,489815,etr,2020,wdi2-TM.VAL.SERV.CD.WT,wdi2-TX.VAL.MRCH.CD.WT,0.0485106600041855
